,EG_Confirmed,EG_Deaths,EG_Recovered,EG_Active,Date
85,8964,514,2002,6448,2020-05-09 00:00:00+00:00
86,9400,525,2075,6800,2020-05-10 00:00:00+00:00
87,9746,533,2172,7041,2020-05-11 00:00:00+00:00
88,10093,544,2326,7223,2020-05-12 00:00:00+00:00
89,10431,556,2486,7389,2020-05-13 00:00:00+00:00
90,10829,571,2626,7632,2020-05-14 00:00:00+00:00
91,11228,592,2799,7837,2020-05-15 00:00:00+00:00
92,11719,612,2950,8157,2020-05-16 00:00:00+00:00
93,12229,630,3172,8427,2020-05-17 00:00:00+00:00
94,12764,645,3440,8679,2020-05-18 00:00:00+00:00
95,13484,659,3742,9083,2020-05-19 00:00:00+00:00
96,14229,680,3994,9555,2020-05-20 00:00:00+00:00
97,15003,696,4217,10090,2020-05-21 00:00:00+00:00
98,15786,707,4374,10705,2020-05-22 00:00:00+00:00
99,16513,735,4628,11150,2020-05-23 00:00:00+00:00
100,17265,764,4807,11694,2020-05-24 00:00:00+00:00
101,17967,783,4900,12284,2020-05-25 00:00:00+00:00
102,18756,797,5027,12932,2020-05-26 00:00:00+00:00
103,19666,816,5205,13645,2020-05-27 00:00:00+00:00
104,20793,845,5359,14589,2020-05-28 00:00:00+00:00
105,22082,879,5511,15692,2020-05-29 00:00:00+00:00
106,23449,913,5693,16843,2020-05-30 00:00:00+00:00
107,24985,959,6037,17989,2020-05-31 00:00:00+00:00
108,26384,1005,6447,18932,2020-06-01 00:00:00+00:00
109,27536,1052,6827,19657,2020-06-02 00:00:00+00:00
110,28615,1088,7350,20177,2020-06-03 00:00:00+00:00
111,29767,1126,7756,20885,2020-06-04 00:00:00+00:00
112,31115,1166,8158,21791,2020-06-05 00:00:00+00:00
113,32612,1198,8538,22876,2020-06-06 00:00:00+00:00
114,34079,1237,8961,23881,2020-06-07 00:00:00+00:00
115,35444,1271,9375,24798,2020-06-08 00:00:00+00:00
116,36829,1306,9786,25737,2020-06-09 00:00:00+00:00
117,38284,1342,10289,26653,2020-06-10 00:00:00+00:00
118,39726,1377,10691,27658,2020-06-11 00:00:00+00:00
119,41303,1422,11108,28773,2020-06-12 00:00:00+00:00
120,42980,1484,11529,29967,2020-06-13 00:00:00+00:00
121,44598,1575,11931,31092,2020-06-14 00:00:00+00:00
122,46289,1672,12329,32288,2020-06-15 00:00:00+00:00
123,47856,1766,12730,33360,2020-06-16 00:00:00+00:00
124,49219,1850,13141,34228,2020-06-17 00:00:00+00:00
125,50437,1938,13528,34971,2020-06-18 00:00:00+00:00
126,52211,2017,13928,36266,2020-06-19 00:00:00+00:00
127,53758,2106,14327,37325,2020-06-20 00:00:00+00:00
128,55233,2193,14736,38304,2020-06-21 00:00:00+00:00
129,56809,2278,15133,39398,2020-06-22 00:00:00+00:00
130,58141,2365,15535,40241,2020-06-23 00:00:00+00:00
