,FR_Confirmed,FR_Deaths,FR_Recovered,FR_Active,Date
161,58,1,0,57,2020-03-22 00:00:00+00:00
162,44,1,0,43,2020-03-22 00:00:00+00:00
163,11,0,0,11,2020-03-22 00:00:00+00:00
164,4,0,0,4,2020-03-22 00:00:00+00:00
165,64,0,0,64,2020-03-22 00:00:00+00:00
166,3,0,0,3,2020-03-22 00:00:00+00:00
167,5,0,0,5,2020-03-22 00:00:00+00:00
168,19856,860,2200,16796,2020-03-23 00:00:00+00:00
169,20,0,6,14,2020-03-23 00:00:00+00:00
170,18,0,0,18,2020-03-23 00:00:00+00:00
171,62,1,0,61,2020-03-23 00:00:00+00:00
172,53,1,0,52,2020-03-23 00:00:00+00:00
173,24,0,0,24,2020-03-23 00:00:00+00:00
174,8,0,0,8,2020-03-23 00:00:00+00:00
175,71,0,0,71,2020-03-23 00:00:00+00:00
176,3,0,0,3,2020-03-23 00:00:00+00:00
177,8,0,0,8,2020-03-23 00:00:00+00:00
178,22304,1100,3243,17961,2020-03-24 00:00:00+00:00
179,23,0,6,17,2020-03-24 00:00:00+00:00
180,25,0,0,25,2020-03-24 00:00:00+00:00
181,62,1,0,61,2020-03-24 00:00:00+00:00
182,57,1,0,56,2020-03-24 00:00:00+00:00
183,36,0,0,36,2020-03-24 00:00:00+00:00
184,10,0,0,10,2020-03-24 00:00:00+00:00
185,94,0,1,93,2020-03-24 00:00:00+00:00
186,3,0,0,3,2020-03-24 00:00:00+00:00
187,8,0,0,8,2020-03-24 00:00:00+00:00
188,25233,1331,3900,20002,2020-03-25 00:00:00+00:00
189,28,0,6,22,2020-03-25 00:00:00+00:00
190,25,0,0,25,2020-03-25 00:00:00+00:00
191,73,1,0,72,2020-03-25 00:00:00+00:00
192,66,1,0,65,2020-03-25 00:00:00+00:00
193,36,0,0,36,2020-03-25 00:00:00+00:00
194,14,0,0,14,2020-03-25 00:00:00+00:00
195,111,0,1,110,2020-03-25 00:00:00+00:00
196,3,0,0,3,2020-03-25 00:00:00+00:00
197,11,0,0,11,2020-03-25 00:00:00+00:00
198,29155,1696,4948,22511,2020-03-26 00:00:00+00:00
199,28,0,6,22,2020-03-26 00:00:00+00:00
200,30,0,0,30,2020-03-26 00:00:00+00:00
201,73,1,0,72,2020-03-26 00:00:00+00:00
202,66,1,0,65,2020-03-26 00:00:00+00:00
203,36,0,0,36,2020-03-26 00:00:00+00:00
204,14,0,0,14,2020-03-26 00:00:00+00:00
205,135,0,1,134,2020-03-26 00:00:00+00:00
206,3,0,0,3,2020-03-26 00:00:00+00:00
207,11,0,0,11,2020-03-26 00:00:00+00:00
208,32964,1995,5700,25269,2020-03-27 00:00:00+00:00
209,28,0,6,22,2020-03-27 00:00:00+00:00
210,30,0,0,30,2020-03-27 00:00:00+00:00
211,73,1,0,72,2020-03-27 00:00:00+00:00
212,81,1,0,80,2020-03-27 00:00:00+00:00
213,50,0,0,50,2020-03-27 00:00:00+00:00
214,15,0,0,15,2020-03-27 00:00:00+00:00
215,145,0,1,144,2020-03-27 00:00:00+00:00
216,5,0,0,5,2020-03-27 00:00:00+00:00
217,11,0,0,11,2020-03-27 00:00:00+00:00
218,37575,2314,5700,29561,2020-03-28 00:00:00+00:00
219,28,0,6,22,2020-03-28 00:00:00+00:00
220,30,0,0,30,2020-03-28 00:00:00+00:00
221,102,2,17,83,2020-03-28 00:00:00+00:00
222,93,1,0,92,2020-03-28 00:00:00+00:00
223,63,0,0,63,2020-03-28 00:00:00+00:00
224,15,0,0,15,2020-03-28 00:00:00+00:00
225,183,0,1,182,2020-03-28 00:00:00+00:00
226,5,0,0,5,2020-03-28 00:00:00+00:00
227,11,0,0,11,2020-03-28 00:00:00+00:00
228,40174,2606,7202,30366,2020-03-29 00:00:00+00:00
229,28,0,6,22,2020-03-29 00:00:00+00:00
230,30,0,0,30,2020-03-29 00:00:00+00:00
231,106,4,17,85,2020-03-29 00:00:00+00:00
232,93,1,0,92,2020-03-29 00:00:00+00:00
233,63,0,0,63,2020-03-29 00:00:00+00:00
234,15,0,0,15,2020-03-29 00:00:00+00:00
235,183,0,1,182,2020-03-29 00:00:00+00:00
236,5,0,0,5,2020-03-29 00:00:00+00:00
237,11,0,0,11,2020-03-29 00:00:00+00:00
238,44550,3024,7927,33599,2020-03-30 00:00:00+00:00
239,43,0,6,37,2020-03-30 00:00:00+00:00
240,36,0,0,36,2020-03-30 00:00:00+00:00
241,106,4,17,85,2020-03-30 00:00:00+00:00
242,93,1,0,92,2020-03-30 00:00:00+00:00
243,82,0,10,72,2020-03-30 00:00:00+00:00
244,15,0,0,15,2020-03-30 00:00:00+00:00
245,224,0,1,223,2020-03-30 00:00:00+00:00
246,6,0,1,5,2020-03-30 00:00:00+00:00
247,15,1,2,12,2020-03-30 00:00:00+00:00
248,52128,3523,9444,39161,2020-03-31 00:00:00+00:00
249,43,0,6,37,2020-03-31 00:00:00+00:00
250,36,0,0,36,2020-03-31 00:00:00+00:00
251,114,4,22,88,2020-03-31 00:00:00+00:00
252,128,3,27,98,2020-03-31 00:00:00+00:00
253,94,1,10,83,2020-03-31 00:00:00+00:00
254,16,0,0,16,2020-03-31 00:00:00+00:00
255,247,0,1,246,2020-03-31 00:00:00+00:00
256,6,0,1,5,2020-03-31 00:00:00+00:00
257,15,1,2,12,2020-03-31 00:00:00+00:00
258,56989,4403,10934,41652,2020-04-01 00:00:00+00:00
259,51,0,15,36,2020-04-01 00:00:00+00:00
260,37,0,0,37,2020-04-01 00:00:00+00:00
261,125,6,24,95,2020-04-01 00:00:00+00:00
262,135,3,27,105,2020-04-01 00:00:00+00:00
263,94,1,10,83,2020-04-01 00:00:00+00:00
264,16,0,0,16,2020-04-01 00:00:00+00:00
265,281,0,40,241,2020-04-01 00:00:00+00:00
266,6,0,1,5,2020-04-01 00:00:00+00:00
267,15,1,2,12,2020-04-01 00:00:00+00:00
268,59105,5387,12428,41290,2020-04-02 00:00:00+00:00
269,51,0,15,36,2020-04-02 00:00:00+00:00
270,37,0,0,37,2020-04-02 00:00:00+00:00
271,128,6,24,98,2020-04-02 00:00:00+00:00
272,138,3,27,108,2020-04-02 00:00:00+00:00
273,116,1,10,105,2020-04-02 00:00:00+00:00
274,18,0,1,17,2020-04-02 00:00:00+00:00
275,308,0,40,268,2020-04-02 00:00:00+00:00
276,6,0,1,5,2020-04-02 00:00:00+00:00
277,22,1,2,19,2020-04-02 00:00:00+00:00
278,64338,6507,14008,43823,2020-04-03 00:00:00+00:00
279,57,0,22,35,2020-04-03 00:00:00+00:00
280,39,0,0,39,2020-04-03 00:00:00+00:00
281,130,7,24,99,2020-04-03 00:00:00+00:00
282,143,3,27,113,2020-04-03 00:00:00+00:00
283,128,2,10,116,2020-04-03 00:00:00+00:00
284,18,0,1,17,2020-04-03 00:00:00+00:00
285,321,0,40,281,2020-04-03 00:00:00+00:00
286,6,0,1,5,2020-04-03 00:00:00+00:00
287,22,1,2,19,2020-04-03 00:00:00+00:00
288,68605,7560,15438,45607,2020-04-04 00:00:00+00:00
289,61,0,22,39,2020-04-04 00:00:00+00:00
290,40,0,0,40,2020-04-04 00:00:00+00:00
291,134,7,24,103,2020-04-04 00:00:00+00:00
292,145,3,27,115,2020-04-04 00:00:00+00:00
293,134,2,14,118,2020-04-04 00:00:00+00:00
294,17,0,1,16,2020-04-04 00:00:00+00:00
295,334,0,40,294,2020-04-04 00:00:00+00:00
296,6,0,1,5,2020-04-04 00:00:00+00:00
297,24,2,5,17,2020-04-04 00:00:00+00:00
298,70478,8078,16183,46217,2020-04-05 00:00:00+00:00
299,61,0,22,39,2020-04-05 00:00:00+00:00
300,41,0,0,41,2020-04-05 00:00:00+00:00
301,135,7,31,97,2020-04-05 00:00:00+00:00
302,149,4,50,95,2020-04-05 00:00:00+00:00
303,147,2,14,131,2020-04-05 00:00:00+00:00
304,18,0,1,17,2020-04-05 00:00:00+00:00
305,344,0,40,304,2020-04-05 00:00:00+00:00
306,6,0,1,5,2020-04-05 00:00:00+00:00
307,1,0,0,1,2020-04-05 00:00:00+00:00
308,32,2,7,23,2020-04-05 00:00:00+00:00
309,74390,8911,17250,48229,2020-04-06 00:00:00+00:00
310,72,0,34,38,2020-04-06 00:00:00+00:00
311,42,0,0,42,2020-04-06 00:00:00+00:00
312,135,7,31,97,2020-04-06 00:00:00+00:00
313,151,4,50,97,2020-04-06 00:00:00+00:00
314,147,2,14,131,2020-04-06 00:00:00+00:00
315,18,0,1,17,2020-04-06 00:00:00+00:00
316,349,0,40,309,2020-04-06 00:00:00+00:00
317,6,0,1,5,2020-04-06 00:00:00+00:00
318,1,0,0,1,2020-04-06 00:00:00+00:00
319,32,2,7,23,2020-04-06 00:00:00+00:00
320,78167,10328,19337,48502,2020-04-07 00:00:00+00:00
321,72,0,34,38,2020-04-07 00:00:00+00:00
322,47,0,0,47,2020-04-07 00:00:00+00:00
323,139,7,31,101,2020-04-07 00:00:00+00:00
324,152,4,50,98,2020-04-07 00:00:00+00:00
325,171,2,22,147,2020-04-07 00:00:00+00:00
326,18,0,1,17,2020-04-07 00:00:00+00:00
327,358,0,40,318,2020-04-07 00:00:00+00:00
328,6,0,1,5,2020-04-07 00:00:00+00:00
329,1,0,0,1,2020-04-07 00:00:00+00:00
330,32,2,7,23,2020-04-07 00:00:00+00:00
331,82048,10869,21254,49925,2020-04-08 00:00:00+00:00
332,77,0,34,43,2020-04-08 00:00:00+00:00
333,51,0,0,51,2020-04-08 00:00:00+00:00
334,141,8,43,90,2020-04-08 00:00:00+00:00
335,154,6,50,98,2020-04-08 00:00:00+00:00
336,171,2,22,147,2020-04-08 00:00:00+00:00
337,18,0,1,17,2020-04-08 00:00:00+00:00
338,358,0,40,318,2020-04-08 00:00:00+00:00
339,6,0,1,5,2020-04-08 00:00:00+00:00
340,1,0,0,1,2020-04-08 00:00:00+00:00
341,32,2,7,23,2020-04-08 00:00:00+00:00
342,86334,12210,23206,50918,2020-04-09 00:00:00+00:00
343,83,0,43,40,2020-04-09 00:00:00+00:00
344,51,0,0,51,2020-04-09 00:00:00+00:00
345,141,8,43,90,2020-04-09 00:00:00+00:00
346,154,6,50,98,2020-04-09 00:00:00+00:00
347,184,2,22,160,2020-04-09 00:00:00+00:00
348,18,0,1,17,2020-04-09 00:00:00+00:00
349,362,0,40,322,2020-04-09 00:00:00+00:00
350,6,0,1,5,2020-04-09 00:00:00+00:00
351,1,0,0,1,2020-04-09 00:00:00+00:00
352,32,2,7,23,2020-04-09 00:00:00+00:00
353,90676,13197,24932,52547,2020-04-10 00:00:00+00:00
354,83,0,43,40,2020-04-10 00:00:00+00:00
355,51,0,0,51,2020-04-10 00:00:00+00:00
356,143,8,67,68,2020-04-10 00:00:00+00:00
357,155,6,50,99,2020-04-10 00:00:00+00:00
358,191,2,50,139,2020-04-10 00:00:00+00:00
359,18,0,1,17,2020-04-10 00:00:00+00:00
360,382,0,40,342,2020-04-10 00:00:00+00:00
361,6,0,1,5,2020-04-10 00:00:00+00:00
362,1,0,0,1,2020-04-10 00:00:00+00:00
363,32,2,11,19,2020-04-10 00:00:00+00:00
364,93790,13832,26391,53567,2020-04-11 00:00:00+00:00
365,83,0,43,40,2020-04-11 00:00:00+00:00
366,51,0,0,51,2020-04-11 00:00:00+00:00
367,143,8,67,68,2020-04-11 00:00:00+00:00
368,155,6,50,99,2020-04-11 00:00:00+00:00
369,196,3,59,134,2020-04-11 00:00:00+00:00
370,18,0,1,17,2020-04-11 00:00:00+00:00
371,388,0,40,348,2020-04-11 00:00:00+00:00
372,6,0,1,5,2020-04-11 00:00:00+00:00
373,1,0,0,1,2020-04-11 00:00:00+00:00
374,32,2,11,19,2020-04-11 00:00:00+00:00
375,120633,14393,27186,79054,2020-04-12 00:00:00+00:00
376,86,0,51,35,2020-04-12 00:00:00+00:00
377,53,0,0,53,2020-04-12 00:00:00+00:00
378,143,8,67,68,2020-04-12 00:00:00+00:00
379,155,6,50,99,2020-04-12 00:00:00+00:00
380,196,3,59,134,2020-04-12 00:00:00+00:00
381,18,0,1,17,2020-04-12 00:00:00+00:00
382,389,0,40,349,2020-04-12 00:00:00+00:00
383,6,0,4,2,2020-04-12 00:00:00+00:00
384,1,0,0,1,2020-04-12 00:00:00+00:00
385,32,2,11,19,2020-04-12 00:00:00+00:00
386,124298,14967,27718,81613,2020-04-13 00:00:00+00:00
387,86,0,51,35,2020-04-13 00:00:00+00:00
388,55,0,0,55,2020-04-13 00:00:00+00:00
389,143,8,67,68,2020-04-13 00:00:00+00:00
390,157,6,50,101,2020-04-13 00:00:00+00:00
391,207,3,59,145,2020-04-13 00:00:00+00:00
392,18,0,1,17,2020-04-13 00:00:00+00:00
393,391,0,40,351,2020-04-13 00:00:00+00:00
394,6,0,4,2,2020-04-13 00:00:00+00:00
395,1,0,0,1,2020-04-13 00:00:00+00:00
396,32,2,11,19,2020-04-13 00:00:00+00:00
397,129257,15712,28512,85033,2020-04-14 00:00:00+00:00
398,86,0,51,35,2020-04-14 00:00:00+00:00
399,55,0,0,55,2020-04-14 00:00:00+00:00
400,145,8,67,70,2020-04-14 00:00:00+00:00
401,157,6,50,101,2020-04-14 00:00:00+00:00
402,217,3,69,145,2020-04-14 00:00:00+00:00
403,18,0,1,17,2020-04-14 00:00:00+00:00
404,391,0,40,351,2020-04-14 00:00:00+00:00
405,6,0,4,2,2020-04-14 00:00:00+00:00
406,1,0,0,1,2020-04-14 00:00:00+00:00
407,32,2,11,19,2020-04-14 00:00:00+00:00
408,132473,17148,30440,84885,2020-04-15 00:00:00+00:00
409,86,0,51,35,2020-04-15 00:00:00+00:00
410,55,0,0,55,2020-04-15 00:00:00+00:00
411,145,8,67,70,2020-04-15 00:00:00+00:00
412,158,8,73,77,2020-04-15 00:00:00+00:00
413,217,3,69,145,2020-04-15 00:00:00+00:00
414,18,0,1,17,2020-04-15 00:00:00+00:00
415,391,0,237,154,2020-04-15 00:00:00+00:00
416,6,0,4,2,2020-04-15 00:00:00+00:00
417,1,0,0,1,2020-04-15 00:00:00+00:00
418,35,2,13,20,2020-04-15 00:00:00+00:00
419,144944,17901,32297,94746,2020-04-16 00:00:00+00:00
420,86,0,51,35,2020-04-16 00:00:00+00:00
421,55,0,0,55,2020-04-16 00:00:00+00:00
422,145,8,67,70,2020-04-16 00:00:00+00:00
423,158,8,73,77,2020-04-16 00:00:00+00:00
424,233,3,69,161,2020-04-16 00:00:00+00:00
425,18,0,1,17,2020-04-16 00:00:00+00:00
426,394,0,237,157,2020-04-16 00:00:00+00:00
427,6,0,4,2,2020-04-16 00:00:00+00:00
428,1,0,0,1,2020-04-16 00:00:00+00:00
429,35,2,13,20,2020-04-16 00:00:00+00:00
430,146923,18661,33834,94428,2020-04-17 00:00:00+00:00
431,96,0,61,35,2020-04-17 00:00:00+00:00
432,55,0,0,55,2020-04-17 00:00:00+00:00
433,145,8,67,70,2020-04-17 00:00:00+00:00
434,158,8,73,77,2020-04-17 00:00:00+00:00
435,245,4,117,124,2020-04-17 00:00:00+00:00
436,18,0,14,4,2020-04-17 00:00:00+00:00
437,402,0,237,165,2020-04-17 00:00:00+00:00
438,6,0,4,2,2020-04-17 00:00:00+00:00
439,1,0,0,1,2020-04-17 00:00:00+00:00
440,35,2,13,20,2020-04-17 00:00:00+00:00
441,146906,19303,35379,92224,2020-04-18 00:00:00+00:00
442,96,0,64,32,2020-04-18 00:00:00+00:00
443,55,0,2,53,2020-04-18 00:00:00+00:00
444,148,8,73,67,2020-04-18 00:00:00+00:00
445,158,8,73,77,2020-04-18 00:00:00+00:00
446,254,4,117,133,2020-04-18 00:00:00+00:00
447,18,0,14,4,2020-04-18 00:00:00+00:00
448,407,0,237,170,2020-04-18 00:00:00+00:00
449,6,0,5,1,2020-04-18 00:00:00+00:00
450,1,0,0,1,2020-04-18 00:00:00+00:00
451,37,2,19,16,2020-04-18 00:00:00+00:00
452,151808,19694,35973,96141,2020-04-19 00:00:00+00:00
453,96,0,64,32,2020-04-19 00:00:00+00:00
454,55,0,2,53,2020-04-19 00:00:00+00:00
455,148,8,73,67,2020-04-19 00:00:00+00:00
456,163,12,73,78,2020-04-19 00:00:00+00:00
