,NL_Confirmed,NL_Deaths,NL_Recovered,NL_Active,Date
158,95,2,39,54,2020-04-16 00:00:00+00:00
159,3,0,0,3,2020-04-16 00:00:00+00:00
160,14,1,10,3,2020-04-16 00:00:00+00:00
161,57,9,12,36,2020-04-16 00:00:00+00:00
162,30449,3459,250,26740,2020-04-17 00:00:00+00:00
163,96,2,43,51,2020-04-17 00:00:00+00:00
164,3,0,0,3,2020-04-17 00:00:00+00:00
165,14,1,10,3,2020-04-17 00:00:00+00:00
166,57,9,12,36,2020-04-17 00:00:00+00:00
167,31589,3601,250,27738,2020-04-18 00:00:00+00:00
168,96,2,44,50,2020-04-18 00:00:00+00:00
169,3,0,0,3,2020-04-18 00:00:00+00:00
170,14,1,11,2,2020-04-18 00:00:00+00:00
171,64,9,12,43,2020-04-18 00:00:00+00:00
172,32655,3684,250,28721,2020-04-19 00:00:00+00:00
173,97,2,49,46,2020-04-19 00:00:00+00:00
174,5,0,0,5,2020-04-19 00:00:00+00:00
175,14,1,11,2,2020-04-19 00:00:00+00:00
176,67,10,12,45,2020-04-19 00:00:00+00:00
177,33405,3751,250,29404,2020-04-20 00:00:00+00:00
178,97,2,49,46,2020-04-20 00:00:00+00:00
179,5,0,0,5,2020-04-20 00:00:00+00:00
180,14,1,11,2,2020-04-20 00:00:00+00:00
181,67,10,12,45,2020-04-20 00:00:00+00:00
182,34134,3916,0,30218,2020-04-21 00:00:00+00:00
183,97,2,51,44,2020-04-21 00:00:00+00:00
184,5,0,0,5,2020-04-21 00:00:00+00:00
185,14,1,11,2,2020-04-21 00:00:00+00:00
186,67,10,12,45,2020-04-21 00:00:00+00:00
187,34842,4054,0,30788,2020-04-22 00:00:00+00:00
188,100,2,68,30,2020-04-22 00:00:00+00:00
189,5,0,0,5,2020-04-22 00:00:00+00:00
190,14,1,11,2,2020-04-22 00:00:00+00:00
191,71,11,22,38,2020-04-22 00:00:00+00:00
192,35729,4177,0,31552,2020-04-23 00:00:00+00:00
193,100,2,68,30,2020-04-23 00:00:00+00:00
194,5,0,0,5,2020-04-23 00:00:00+00:00
195,14,1,11,2,2020-04-23 00:00:00+00:00
196,73,12,22,39,2020-04-23 00:00:00+00:00
197,36535,4289,0,32246,2020-04-24 00:00:00+00:00
198,100,2,69,29,2020-04-24 00:00:00+00:00
199,5,0,0,5,2020-04-24 00:00:00+00:00
200,16,1,11,4,2020-04-24 00:00:00+00:00
201,73,12,22,39,2020-04-24 00:00:00+00:00
202,37190,4409,0,32781,2020-04-25 00:00:00+00:00
203,100,2,69,29,2020-04-25 00:00:00+00:00
204,5,0,0,5,2020-04-25 00:00:00+00:00
205,16,1,11,4,2020-04-25 00:00:00+00:00
206,73,12,22,39,2020-04-25 00:00:00+00:00
207,37845,4475,0,33370,2020-04-26 00:00:00+00:00
208,100,2,73,25,2020-04-26 00:00:00+00:00
209,5,0,0,5,2020-04-26 00:00:00+00:00
210,16,1,11,4,2020-04-26 00:00:00+00:00
211,74,13,33,28,2020-04-26 00:00:00+00:00
212,38245,4518,0,33727,2020-04-27 00:00:00+00:00
213,100,2,73,25,2020-04-27 00:00:00+00:00
214,5,0,0,5,2020-04-27 00:00:00+00:00
215,16,1,11,4,2020-04-27 00:00:00+00:00
216,74,13,33,28,2020-04-27 00:00:00+00:00
217,38416,4566,0,33850,2020-04-28 00:00:00+00:00
218,100,2,73,25,2020-04-28 00:00:00+00:00
219,5,0,0,5,2020-04-28 00:00:00+00:00
220,16,1,11,4,2020-04-28 00:00:00+00:00
221,75,13,33,29,2020-04-28 00:00:00+00:00
222,38802,4711,0,34091,2020-04-29 00:00:00+00:00
223,100,2,73,25,2020-04-29 00:00:00+00:00
224,5,0,0,5,2020-04-29 00:00:00+00:00
225,16,1,13,2,2020-04-29 00:00:00+00:00
226,75,13,33,29,2020-04-29 00:00:00+00:00
227,39316,4795,0,34521,2020-04-30 00:00:00+00:00
228,100,2,79,19,2020-04-30 00:00:00+00:00
229,5,0,0,5,2020-04-30 00:00:00+00:00
230,16,1,13,2,2020-04-30 00:00:00+00:00
231,75,13,33,29,2020-04-30 00:00:00+00:00
232,39791,4893,0,34898,2020-05-01 00:00:00+00:00
233,100,2,81,17,2020-05-01 00:00:00+00:00
234,6,0,0,6,2020-05-01 00:00:00+00:00
235,16,1,13,2,2020-05-01 00:00:00+00:00
236,76,13,44,19,2020-05-01 00:00:00+00:00
237,40236,4987,0,35249,2020-05-02 00:00:00+00:00
238,100,2,81,17,2020-05-02 00:00:00+00:00
239,6,0,0,6,2020-05-02 00:00:00+00:00
240,16,1,13,2,2020-05-02 00:00:00+00:00
241,76,13,44,19,2020-05-02 00:00:00+00:00
242,40571,5056,0,35515,2020-05-03 00:00:00+00:00
243,100,2,81,17,2020-05-03 00:00:00+00:00
244,6,0,0,6,2020-05-03 00:00:00+00:00
245,16,1,13,2,2020-05-03 00:00:00+00:00
246,76,13,44,19,2020-05-03 00:00:00+00:00
247,40770,5082,0,35688,2020-05-04 00:00:00+00:00
248,100,2,81,17,2020-05-04 00:00:00+00:00
249,6,0,0,6,2020-05-04 00:00:00+00:00
250,16,1,13,2,2020-05-04 00:00:00+00:00
251,76,13,44,19,2020-05-04 00:00:00+00:00
252,41087,5168,0,35919,2020-05-05 00:00:00+00:00
253,101,2,82,17,2020-05-05 00:00:00+00:00
254,6,0,0,6,2020-05-05 00:00:00+00:00
255,16,1,13,2,2020-05-05 00:00:00+00:00
256,76,14,44,18,2020-05-05 00:00:00+00:00
257,41319,5204,0,36115,2020-05-06 00:00:00+00:00
258,101,2,89,10,2020-05-06 00:00:00+00:00
259,6,0,0,6,2020-05-06 00:00:00+00:00
260,16,1,13,2,2020-05-06 00:00:00+00:00
261,76,14,44,18,2020-05-06 00:00:00+00:00
262,41774,5288,0,36486,2020-05-07 00:00:00+00:00
263,101,3,89,9,2020-05-07 00:00:00+00:00
264,6,0,0,6,2020-05-07 00:00:00+00:00
265,16,1,14,1,2020-05-07 00:00:00+00:00
266,76,14,44,18,2020-05-07 00:00:00+00:00
267,42093,5359,0,36734,2020-05-08 00:00:00+00:00
268,101,3,89,9,2020-05-08 00:00:00+00:00
269,6,0,0,6,2020-05-08 00:00:00+00:00
270,16,1,14,1,2020-05-08 00:00:00+00:00
271,76,14,44,18,2020-05-08 00:00:00+00:00
272,42382,5422,0,36960,2020-05-09 00:00:00+00:00
273,101,3,89,9,2020-05-09 00:00:00+00:00
274,6,0,0,6,2020-05-09 00:00:00+00:00
275,16,1,14,1,2020-05-09 00:00:00+00:00
276,76,15,46,15,2020-05-09 00:00:00+00:00
277,42627,5440,0,37187,2020-05-10 00:00:00+00:00
278,101,3,89,9,2020-05-10 00:00:00+00:00
279,6,0,0,6,2020-05-10 00:00:00+00:00
280,16,1,14,1,2020-05-10 00:00:00+00:00
281,76,15,46,15,2020-05-10 00:00:00+00:00
282,42788,5456,0,37332,2020-05-11 00:00:00+00:00
283,101,3,89,9,2020-05-11 00:00:00+00:00
284,6,0,0,6,2020-05-11 00:00:00+00:00
285,16,1,14,1,2020-05-11 00:00:00+00:00
286,76,15,46,15,2020-05-11 00:00:00+00:00
287,42984,5510,0,37474,2020-05-12 00:00:00+00:00
288,101,3,89,9,2020-05-12 00:00:00+00:00
289,6,0,0,6,2020-05-12 00:00:00+00:00
290,16,1,14,1,2020-05-12 00:00:00+00:00
291,76,15,46,15,2020-05-12 00:00:00+00:00
292,43211,5562,0,37649,2020-05-13 00:00:00+00:00
293,101,3,91,7,2020-05-13 00:00:00+00:00
294,6,0,6,0,2020-05-13 00:00:00+00:00
295,16,1,14,1,2020-05-13 00:00:00+00:00
296,76,15,46,15,2020-05-13 00:00:00+00:00
297,43481,5590,0,37891,2020-05-14 00:00:00+00:00
298,101,3,93,5,2020-05-14 00:00:00+00:00
299,6,0,6,0,2020-05-14 00:00:00+00:00
300,16,1,14,1,2020-05-14 00:00:00+00:00
301,76,15,46,15,2020-05-14 00:00:00+00:00
302,43681,5643,0,38038,2020-05-15 00:00:00+00:00
303,101,3,93,5,2020-05-15 00:00:00+00:00
304,6,0,6,0,2020-05-15 00:00:00+00:00
305,16,1,14,1,2020-05-15 00:00:00+00:00
306,76,15,46,15,2020-05-15 00:00:00+00:00
307,43870,5670,0,38200,2020-05-16 00:00:00+00:00
308,101,3,93,5,2020-05-16 00:00:00+00:00
309,6,0,6,0,2020-05-16 00:00:00+00:00
310,16,1,14,1,2020-05-16 00:00:00+00:00
311,77,15,54,8,2020-05-16 00:00:00+00:00
312,43995,5680,0,38315,2020-05-17 00:00:00+00:00
313,101,3,93,5,2020-05-17 00:00:00+00:00
314,6,0,6,0,2020-05-17 00:00:00+00:00
315,16,1,14,1,2020-05-17 00:00:00+00:00
316,77,15,54,8,2020-05-17 00:00:00+00:00
317,44141,5694,0,38447,2020-05-18 00:00:00+00:00
318,101,3,93,5,2020-05-18 00:00:00+00:00
319,6,0,6,0,2020-05-18 00:00:00+00:00
320,16,1,14,1,2020-05-18 00:00:00+00:00
321,77,15,54,8,2020-05-18 00:00:00+00:00
322,44249,5715,0,38534,2020-05-19 00:00:00+00:00
323,101,3,93,5,2020-05-19 00:00:00+00:00
324,6,0,6,0,2020-05-19 00:00:00+00:00
325,16,1,14,1,2020-05-19 00:00:00+00:00
326,77,15,54,8,2020-05-19 00:00:00+00:00
327,44447,5748,0,38699,2020-05-20 00:00:00+00:00
328,101,3,95,3,2020-05-20 00:00:00+00:00
329,6,0,6,0,2020-05-20 00:00:00+00:00
330,16,1,14,1,2020-05-20 00:00:00+00:00
331,77,15,54,8,2020-05-20 00:00:00+00:00
332,44700,5775,0,38925,2020-05-21 00:00:00+00:00
333,101,3,95,3,2020-05-21 00:00:00+00:00
334,6,0,6,0,2020-05-21 00:00:00+00:00
335,16,1,14,1,2020-05-21 00:00:00+00:00
336,77,15,54,8,2020-05-21 00:00:00+00:00
337,44888,5788,0,39100,2020-05-22 00:00:00+00:00
338,101,3,95,3,2020-05-22 00:00:00+00:00
339,6,0,6,0,2020-05-22 00:00:00+00:00
340,16,1,14,1,2020-05-22 00:00:00+00:00
341,77,15,59,3,2020-05-22 00:00:00+00:00
342,45064,5811,0,39253,2020-05-23 00:00:00+00:00
343,101,3,95,3,2020-05-23 00:00:00+00:00
344,6,0,6,0,2020-05-23 00:00:00+00:00
345,17,1,14,2,2020-05-23 00:00:00+00:00
346,77,15,59,3,2020-05-23 00:00:00+00:00
347,45236,5822,0,39414,2020-05-24 00:00:00+00:00
348,101,3,95,3,2020-05-24 00:00:00+00:00
349,6,0,6,0,2020-05-24 00:00:00+00:00
350,17,1,14,2,2020-05-24 00:00:00+00:00
351,77,15,59,3,2020-05-24 00:00:00+00:00
352,45445,5830,0,39615,2020-05-25 00:00:00+00:00
353,101,3,95,3,2020-05-25 00:00:00+00:00
354,6,0,6,0,2020-05-25 00:00:00+00:00
355,18,1,14,3,2020-05-25 00:00:00+00:00
356,77,15,59,3,2020-05-25 00:00:00+00:00
357,45578,5856,0,39722,2020-05-26 00:00:00+00:00
358,101,3,95,3,2020-05-26 00:00:00+00:00
359,6,0,6,0,2020-05-26 00:00:00+00:00
360,18,1,14,3,2020-05-26 00:00:00+00:00
361,77,15,59,3,2020-05-26 00:00:00+00:00
362,45768,5871,0,39897,2020-05-27 00:00:00+00:00
363,101,3,97,1,2020-05-27 00:00:00+00:00
364,6,0,6,0,2020-05-27 00:00:00+00:00
365,18,1,14,3,2020-05-27 00:00:00+00:00
366,77,15,60,2,2020-05-27 00:00:00+00:00
367,45950,5903,0,40047,2020-05-28 00:00:00+00:00
368,101,3,98,0,2020-05-28 00:00:00+00:00
369,6,0,6,0,2020-05-28 00:00:00+00:00
370,18,1,14,3,2020-05-28 00:00:00+00:00
371,77,15,60,2,2020-05-28 00:00:00+00:00
372,46126,5931,0,40195,2020-05-29 00:00:00+00:00
373,101,3,98,0,2020-05-29 00:00:00+00:00
