,SN_Confirmed,SN_Deaths,SN_Recovered,SN_Active,Date
90,3645,42,1801,1802,2020-05-31 00:00:00+00:00
91,3739,42,1858,1839,2020-06-01 00:00:00+00:00
92,3836,43,1954,1839,2020-06-02 00:00:00+00:00
93,3932,45,2063,1824,2020-06-03 00:00:00+00:00
94,4021,45,2162,1814,2020-06-04 00:00:00+00:00
95,4155,45,2276,1834,2020-06-05 00:00:00+00:00
96,4249,47,2512,1690,2020-06-06 00:00:00+00:00
97,4328,49,2588,1691,2020-06-07 00:00:00+00:00
98,4427,49,2699,1679,2020-06-08 00:00:00+00:00
99,4516,52,2809,1655,2020-06-09 00:00:00+00:00
100,4640,52,2885,1703,2020-06-10 00:00:00+00:00
101,4759,55,2994,1710,2020-06-11 00:00:00+00:00
102,4851,56,3100,1695,2020-06-12 00:00:00+00:00
103,4996,60,3228,1708,2020-06-13 00:00:00+00:00
104,5090,60,3344,1686,2020-06-14 00:00:00+00:00
105,5173,64,3424,1685,2020-06-15 00:00:00+00:00
106,5247,70,3525,1652,2020-06-16 00:00:00+00:00
107,5369,73,3606,1690,2020-06-17 00:00:00+00:00
108,5475,76,3716,1683,2020-06-18 00:00:00+00:00
109,5639,79,3788,1772,2020-06-19 00:00:00+00:00
110,5783,82,3859,1842,2020-06-20 00:00:00+00:00
111,5888,84,3919,1885,2020-06-21 00:00:00+00:00
112,5970,86,3953,1931,2020-06-22 00:00:00+00:00
113,6034,89,4046,1899,2020-06-23 00:00:00+00:00
