	Timestamp	Date	bitrate	IX
4510	1508889600.0	2017-10-25	-0.004469245419946042	lon1
4511	1508976000.0	2017-10-26	-0.004767245576965082	lon1
4512	1509062400.0	2017-10-27	-0.004603072624173999	lon1
4513	1509148800.0	2017-10-28	-0.004295133958649042	lon1
4514	1509235200.0	2017-10-29	-0.004143559781907887	lon1
4515	1509321600.0	2017-10-30	-0.004360179440731833	lon1
4516	1509408000.0	2017-10-31	-0.004714027077534694	lon1
4517	1509494400.0	2017-11-01	-0.0058974493107661384	lon1
4518	1509580800.0	2017-11-02	-0.003912777934257444	lon1
4519	1509667200.0	2017-11-03	-0.004295902302497071	lon1
4520	1509753600.0	2017-11-04	-0.0037497836228096676	lon1
4521	1509840000.0	2017-11-05	-0.003933067279002479	lon1
4522	1509926400.0	2017-11-06	-0.003946933613124465	lon1
4523	1510012800.0	2017-11-07	-0.004792153951370817	lon1
4524	1510099200.0	2017-11-08	-0.0038163963025122814	lon1
4525	1510185600.0	2017-11-09	-0.003908377684756126	lon1
4526	1510272000.0	2017-11-10	-0.0046006954441180446	lon1
4527	1510358400.0	2017-11-11	-0.003804124238408243	lon1
4528	1510444800.0	2017-11-12	-0.004182931748902402	lon1
4529	1510531200.0	2017-11-13	-0.004062587849436936	lon1
4530	1510617600.0	2017-11-14	-0.004459857074278912	lon1
4531	1510704000.0	2017-11-15	-0.004072861959463949	lon1
4532	1510790400.0	2017-11-16	-0.0035974266049912844	lon1
4533	1510876800.0	2017-11-17	-0.004026017686672171	lon1
4534	1510963200.0	2017-11-18	-0.0037375550691782023	lon1
4535	1511049600.0	2017-11-19	-0.003186749238186688	lon1
4536	1511136000.0	2017-11-20	-0.003671641123643137	lon1
4537	1511222400.0	2017-11-21	-0.003945601847295215	lon1
4538	1511308800.0	2017-11-22	-0.004078904497675169	lon1
4539	1511395200.0	2017-11-23	-0.004337196175225202	lon1
4540	1511481600.0	2017-11-24	-0.005000525385835471	lon1
4541	1511568000.0	2017-11-25	-0.005188160657527737	lon1
4542	1511654400.0	2017-11-26	-0.005049598630955682	lon1
4543	1511740800.0	2017-11-27	-0.004620550029659444	lon1
4544	1511827200.0	2017-11-28	-0.004514270132769769	lon1
4545	1511913600.0	2017-11-29	-0.004022534924044723	lon1
4546	1512000000.0	2017-11-30	-0.0038446571905709688	lon1
4547	1512086400.0	2017-12-01	-0.0032845499340724564	lon1
4548	1512172800.0	2017-12-02	-0.00392570234815421	lon1
4549	1512259200.0	2017-12-03	-0.0036216564618566224	lon1
4550	1512345600.0	2017-12-04	-0.00367559144996284	lon1
4551	1512432000.0	2017-12-05	-0.004284567401600189	lon1
4552	1512518400.0	2017-12-06	-0.0033133625483450176	lon1
4553	1512604800.0	2017-12-07	-0.0027392058363909133	lon1
4554	1512691200.0	2017-12-08	-0.0027470540824071836	lon1
4555	1512777600.0	2017-12-09	-0.002718256937551018	lon1
4556	1512864000.0	2017-12-10	-0.0034179587062817068	lon1
4557	1512950400.0	2017-12-11	-0.0028471690729446157	lon1
4558	1513036800.0	2017-12-12	-0.0034735384869349255	lon1
4559	1513123200.0	2017-12-13	-0.003057353183385547	lon1
4560	1513209600.0	2017-12-14	-0.002910103914052776	lon1
4561	1513296000.0	2017-12-15	-0.003264120563438669	lon1
4562	1513382400.0	2017-12-16	-0.0033705472600623313	lon1
4563	1513468800.0	2017-12-17	-0.004325220950172951	lon1
4564	1513555200.0	2017-12-18	-0.003947916399747988	lon1
4565	1513641600.0	2017-12-19	-0.004170445735150001	lon1
4566	1513728000.0	2017-12-20	-0.0039102331378729396	lon1
4567	1513814400.0	2017-12-21	-0.004127954691841965	lon1
4568	1513900800.0	2017-12-22	-0.0038147548586306966	lon1
4569	1513987200.0	2017-12-23	-0.00433788834329665	lon1
4570	1514073600.0	2017-12-24	-0.0048584888542090015	lon1
4571	1514160000.0	2017-12-25	-0.006625836554394644	lon1
4572	1514246400.0	2017-12-26	-0.00601040506747604	lon1
4573	1514332800.0	2017-12-27	-0.004660326210184186	lon1
4574	1514419200.0	2017-12-28	-0.004410781803997802	lon1
4575	1514505600.0	2017-12-29	-0.0046244647414348874	lon1
4576	1514592000.0	2017-12-30	-0.004836088394939698	lon1
4577	1514678400.0	2017-12-31	-0.00578209748862938	lon1
4578	1514764800.0	2018-01-01	-0.006861509804888541	lon1
4579	1514851200.0	2018-01-02	-0.005468440760498976	lon1
4580	1514937600.0	2018-01-03	-0.003929964962683548	lon1
4581	1515024000.0	2018-01-04	-0.003865771231287108	lon1
4582	1515110400.0	2018-01-05	-0.004085844686005572	lon1
4583	1515196800.0	2018-01-06	-0.004151482045249517	lon1
4584	1515283200.0	2018-01-07	-0.004851337982028801	lon1
4585	1515369600.0	2018-01-08	-0.00488084840258799	lon1
4586	1515456000.0	2018-01-09	-0.00459111932994859	lon1
4587	1515542400.0	2018-01-10	-0.004302620265180206	lon1
4588	1515628800.0	2018-01-11	-0.004506378117253898	lon1
4589	1515715200.0	2018-01-12	-0.004645169027450976	lon1
4590	1515801600.0	2018-01-13	-0.004224126115218721	lon1
4591	1515888000.0	2018-01-14	-0.003496455032241091	lon1
4592	1515974400.0	2018-01-15	-0.003382108763281535	lon1
4593	1516060800.0	2018-01-16	-0.004073384661289773	lon1
4594	1516147200.0	2018-01-17	-0.0037005957488321414	lon1
4595	1516233600.0	2018-01-18	-0.0037377900128691393	lon1
4596	1516320000.0	2018-01-19	-0.004052428970042573	lon1
4597	1516406400.0	2018-01-20	-0.004154032257686288	lon1
4598	1516492800.0	2018-01-21	-0.004445656610215942	lon1
4599	1516579200.0	2018-01-22	-0.0034931379088272234	lon1
4600	1516665600.0	2018-01-23	-0.004390161677494264	lon1
4601	1516752000.0	2018-01-24	-0.0039381424274423475	lon1
4602	1516838400.0	2018-01-25	-0.0032317305251878497	lon1
4603	1516924800.0	2018-01-26	-0.003291716924115814	lon1
4604	1517011200.0	2018-01-27	-0.0031754895463153208	lon1
4605	1517097600.0	2018-01-28	-0.003249820883431271	lon1
4606	1517184000.0	2018-01-29	-0.003645775703768131	lon1
4607	1517270400.0	2018-01-30	-0.00421354665701918	lon1
4608	1517356800.0	2018-01-31	-0.004443080866602988	lon1
4609	1517443200.0	2018-02-01	-0.003942832420254849	lon1
4610	1517529600.0	2018-02-02	-0.00457947465279002	lon1
4611	1517616000.0	2018-02-03	-0.00455547875805451	lon1
4612	1517702400.0	2018-02-04	-0.004074581281718957	lon1
4613	1517788800.0	2018-02-05	-0.004238048652187042	lon1
4614	1517875200.0	2018-02-06	-0.005172835847296534	lon1
4615	1517961600.0	2018-02-07	-0.005245099086515447	lon1
4616	1518048000.0	2018-02-08	-0.005308603607996432	lon1
4617	1518134400.0	2018-02-09	-0.005668684595866706	lon1
4618	1518220800.0	2018-02-10	-0.004821132137728864	lon1
4619	1518307200.0	2018-02-11	-0.004513560323085604	lon1
4620	1518393600.0	2018-02-12	-0.004646009558297151	lon1
4621	1518480000.0	2018-02-13	-0.004633813400763868	lon1
4622	1518566400.0	2018-02-14	-0.004284084986798136	lon1
4623	1518652800.0	2018-02-15	-0.003993232807414641	lon1
4624	1518739200.0	2018-02-16	-0.004068064381724385	lon1
4625	1518825600.0	2018-02-17	-0.004238458143674619	lon1
4626	1518912000.0	2018-02-18	-0.004825645338838601	lon1
4627	1518998400.0	2018-02-19	-0.0046674985278529965	lon1
4628	1519084800.0	2018-02-20	-0.004591265037219565	lon1
4629	1519171200.0	2018-02-21	-0.004373098766254556	lon1
4630	1519257600.0	2018-02-22	-0.004418598205366821	lon1
4631	1519344000.0	2018-02-23	-0.003722142672570554	lon1
4632	1519430400.0	2018-02-24	-0.004054972955168995	lon1
4633	1519516800.0	2018-02-25	-0.0044393888648967044	lon1
4634	1519603200.0	2018-02-26	-0.0038151643718380094	lon1
4635	1519689600.0	2018-02-27	-0.003976264424396409	lon1
4636	1519776000.0	2018-02-28	-0.003315932201169907	lon1
4637	1519862400.0	2018-03-01	-0.003008045340133643	lon1
4638	1519948800.0	2018-03-02	-0.0015570184062747919	lon1
4639	1520035200.0	2018-03-03	-0.0016800347355925077	lon1
4640	1520121600.0	2018-03-04	-0.002294648791914955	lon1
4641	1520208000.0	2018-03-05	-0.002609309995594357	lon1
4642	1520294400.0	2018-03-06	-0.0034658394500324224	lon1
4643	1520380800.0	2018-03-07	-0.0025322743450096907	lon1
4644	1520467200.0	2018-03-08	-0.003384092583842038	lon1
4645	1520553600.0	2018-03-09	-0.003561419961736029	lon1
4646	1520640000.0	2018-03-10	-0.003458981122389966	lon1
4647	1520726400.0	2018-03-11	-0.0029983011150597036	lon1
4648	1520812800.0	2018-03-12	-0.0034551712997312597	lon1
4649	1520899200.0	2018-03-13	-0.0035476915697951967	lon1
4650	1520985600.0	2018-03-14	-0.002742611599811235	lon1
4651	1521072000.0	2018-03-15	-0.0025906370599880968	lon1
4652	1521158400.0	2018-03-16	-0.0031607483929078383	lon1
4653	1521244800.0	2018-03-17	-0.0032500159007277517	lon1
4654	1521331200.0	2018-03-18	-0.003278785097350508	lon1
4655	1521417600.0	2018-03-19	-0.003070853912848217	lon1
4656	1521504000.0	2018-03-20	-0.004177534835588573	lon1
4657	1521590400.0	2018-03-21	-0.003783809166538864	lon1
4658	1521676800.0	2018-03-22	-0.003713953109721617	lon1
4659	1521763200.0	2018-03-23	-0.003660501869308262	lon1
4660	1521849600.0	2018-03-24	-0.003483967443027818	lon1
4661	1521936000.0	2018-03-25	-0.003606528524634205	lon1
4662	1522022400.0	2018-03-26	-0.0040725879358785785	lon1
4663	1522108800.0	2018-03-27	-0.00416530753284787	lon1
4664	1522195200.0	2018-03-28	-0.0033746180266427794	lon1
4665	1522281600.0	2018-03-29	-0.0029888946220097143	lon1
4666	1522368000.0	2018-03-30	-0.0025827214893832254	lon1
4667	1522454400.0	2018-03-31	-0.0029603375200288554	lon1
4668	1522540800.0	2018-04-01	-0.0034587288183655436	lon1
4669	1522627200.0	2018-04-02	-0.004483341531198837	lon1
4670	1522713600.0	2018-04-03	-0.0040427585867158205	lon1
4671	1522800000.0	2018-04-04	-0.002373130846993499	lon1
4672	1522886400.0	2018-04-05	-0.0020184400433686544	lon1
4673	1522972800.0	2018-04-06	-0.003059295153893916	lon1
4674	1523059200.0	2018-04-07	-0.003314824046072963	lon1
4675	1523145600.0	2018-04-08	-0.003691939842756755	lon1
4676	1523232000.0	2018-04-09	-0.003620633305763489	lon1
4677	1523318400.0	2018-04-10	-0.00341795219317235	lon1
4678	1523404800.0	2018-04-11	-0.0024475402997530225	lon1
4679	1523491200.0	2018-04-12	-0.0010313960744921524	lon1
4680	1523577600.0	2018-04-13	-0.0022422717288356304	lon1
4681	1523664000.0	2018-04-14	-0.0034450915453165744	lon1
4682	1523750400.0	2018-04-15	-0.004372477647235586	lon1
4683	1523836800.0	2018-04-16	-0.003417089316595447	lon1
4684	1523923200.0	2018-04-17	-0.0037783181556338232	lon1
4685	1524009600.0	2018-04-18	-0.0040829256545745615	lon1
4686	1524096000.0	2018-04-19	-0.00440228770186927	lon1
4687	1524182400.0	2018-04-20	-0.005125455980728796	lon1
4688	1524268800.0	2018-04-21	-0.005394184624421517	lon1
4689	1524355200.0	2018-04-22	-0.0057469726444460715	lon1
4690	1524441600.0	2018-04-23	-0.004904310671523871	lon1
4691	1524528000.0	2018-04-24	-0.004426282649815062	lon1
4692	1524614400.0	2018-04-25	-0.00367086768100699	lon1
4693	1524700800.0	2018-04-26	-0.004539477865964129	lon1
4694	1524787200.0	2018-04-27	-0.004362781998929418	lon1
4695	1524873600.0	2018-04-28	-0.0045493591342153925	lon1
4696	1524960000.0	2018-04-29	-0.004647046808467039	lon1
4697	1525046400.0	2018-04-30	-0.004507860561647151	lon1
4698	1525132800.0	2018-05-01	-0.0045390329506424555	lon1
4699	1525219200.0	2018-05-02	-0.003113390883549841	lon1
4700	1525305600.0	2018-05-03	-0.0025220131034794637	lon1
4701	1525392000.0	2018-05-04	-0.003049948145685759	lon1
4702	1525478400.0	2018-05-05	-0.003646988963210256	lon1
4703	1525564800.0	2018-05-06	-0.0050897928099464885	lon1
4704	1525651200.0	2018-05-07	-0.005588512785444003	lon1
4705	1525737600.0	2018-05-08	-0.005781366113143648	lon1
4706	1525824000.0	2018-05-09	-0.004197623640677037	lon1
4707	1525910400.0	2018-05-10	-0.0036826308604663033	lon1
4708	1525996800.0	2018-05-11	-0.004272757721811901	lon1
4709	1526083200.0	2018-05-12	-0.004187304143872267	lon1
4710	1526169600.0	2018-05-13	-0.004703797959008571	lon1
4711	1526256000.0	2018-05-14	-0.004104773408099696	lon1
4712	1526342400.0	2018-05-15	-0.0041032020729447885	lon1
4713	1526428800.0	2018-05-16	-0.0038341932510072584	lon1
4714	1526515200.0	2018-05-17	-0.0035813010553711042	lon1
4715	1526601600.0	2018-05-18	-0.004182773545639226	lon1
4716	1526688000.0	2018-05-19	-0.00434381740676839	lon1
4717	1526774400.0	2018-05-20	-0.012381932533347842	lon1
4718	1526860800.0	2018-05-21	-0.0053587266840773185	lon1
4719	1526947200.0	2018-05-22	-0.0047747899933327865	lon1
4720	1527033600.0	2018-05-23	-0.004391097884822596	lon1
4721	1527120000.0	2018-05-24	-0.0043051431561229704	lon1
