,CA_Confirmed,CA_Deaths,CA_Recovered,CA_Active,Date
182,365,5,0,360,2020-04-28 00:00:00+00:00
183,1998,104,0,1894,2020-04-28 00:00:00+00:00
184,118,0,0,118,2020-04-28 00:00:00+00:00
185,5,0,0,5,2020-04-28 00:00:00+00:00
186,4696,75,0,4621,2020-04-28 00:00:00+00:00
187,24983,1600,0,23383,2020-04-28 00:00:00+00:00
188,900,24,0,876,2020-04-28 00:00:00+00:00
189,15960,1022,0,14938,2020-04-28 00:00:00+00:00
190,11,0,0,11,2020-05-04 00:00:00+00:00
191,31873,2206,0,29667,2020-05-04 00:00:00+00:00
192,5766,95,0,5671,2020-05-04 00:00:00+00:00
193,282,6,0,276,2020-05-04 00:00:00+00:00
194,971,37,0,934,2020-05-04 00:00:00+00:00
195,18574,1326,0,17248,2020-05-04 00:00:00+00:00
196,5,0,0,5,2020-05-04 00:00:00+00:00
197,27,0,0,27,2020-05-04 00:00:00+00:00
198,433,7,0,426,2020-05-04 00:00:00+00:00
199,2171,114,0,2057,2020-05-04 00:00:00+00:00
200,118,0,0,118,2020-05-04 00:00:00+00:00
201,259,3,0,256,2020-05-04 00:00:00+00:00
202,19094,1446,0,17648,2020-05-05 00:00:00+00:00
203,5836,104,0,5732,2020-05-05 00:00:00+00:00
204,32631,2281,0,30350,2020-05-05 00:00:00+00:00
205,259,3,0,256,2020-05-05 00:00:00+00:00
206,2224,120,0,2104,2020-05-05 00:00:00+00:00
207,5,0,0,5,2020-05-05 00:00:00+00:00
208,283,6,0,277,2020-05-05 00:00:00+00:00
209,467,7,0,460,2020-05-05 00:00:00+00:00
210,27,0,0,27,2020-05-05 00:00:00+00:00
211,985,38,0,947,2020-05-05 00:00:00+00:00
212,118,0,0,118,2020-05-05 00:00:00+00:00
213,11,0,0,11,2020-05-05 00:00:00+00:00
214,991,41,0,950,2020-05-06 00:00:00+00:00
215,11,0,0,11,2020-05-06 00:00:00+00:00
216,5893,106,0,5787,2020-05-06 00:00:00+00:00
217,19468,1505,0,17963,2020-05-06 00:00:00+00:00
218,119,0,0,119,2020-05-06 00:00:00+00:00
219,33425,2399,0,31026,2020-05-06 00:00:00+00:00
220,259,3,0,256,2020-05-06 00:00:00+00:00
221,487,7,0,480,2020-05-06 00:00:00+00:00
222,5,0,0,5,2020-05-06 00:00:00+00:00
223,2232,121,0,2111,2020-05-06 00:00:00+00:00
224,27,0,0,27,2020-05-06 00:00:00+00:00
225,284,7,0,277,2020-05-06 00:00:00+00:00
