,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,Date
226,35,1,1,33,2020-04-05 00:00:00+00:00
227,309,6,27,276,2020-04-05 00:00:00+00:00
228,2,0,0,2,2020-04-05 00:00:00+00:00
229,103,0,52,51,2020-04-05 00:00:00+00:00
230,127,1,0,126,2020-04-05 00:00:00+00:00
231,6,0,0,6,2020-04-05 00:00:00+00:00
232,5,1,0,4,2020-04-05 00:00:00+00:00
233,51608,6433,135,45040,2020-04-06 00:00:00+00:00
234,3,0,0,3,2020-04-06 00:00:00+00:00
235,39,2,17,20,2020-04-06 00:00:00+00:00
236,3,0,0,3,2020-04-06 00:00:00+00:00
237,39,1,1,37,2020-04-06 00:00:00+00:00
238,323,7,27,289,2020-04-06 00:00:00+00:00
239,2,0,0,2,2020-04-06 00:00:00+00:00
240,109,0,52,57,2020-04-06 00:00:00+00:00
241,139,1,55,83,2020-04-06 00:00:00+00:00
242,6,0,0,6,2020-04-06 00:00:00+00:00
243,8,1,0,7,2020-04-06 00:00:00+00:00
244,55242,7471,135,47636,2020-04-07 00:00:00+00:00
245,3,0,0,3,2020-04-07 00:00:00+00:00
246,39,2,17,20,2020-04-07 00:00:00+00:00
247,3,0,0,3,2020-04-07 00:00:00+00:00
248,45,1,6,38,2020-04-07 00:00:00+00:00
249,335,7,34,294,2020-04-07 00:00:00+00:00
250,2,0,0,2,2020-04-07 00:00:00+00:00
251,113,0,60,53,2020-04-07 00:00:00+00:00
252,150,1,73,76,2020-04-07 00:00:00+00:00
253,9,0,0,9,2020-04-07 00:00:00+00:00
254,8,1,0,7,2020-04-07 00:00:00+00:00
255,60733,8505,135,52093,2020-04-08 00:00:00+00:00
256,3,0,0,3,2020-04-08 00:00:00+00:00
257,39,3,23,13,2020-04-08 00:00:00+00:00
258,3,0,0,3,2020-04-08 00:00:00+00:00
259,45,1,6,38,2020-04-08 00:00:00+00:00
260,351,8,38,305,2020-04-08 00:00:00+00:00
261,5,0,1,4,2020-04-08 00:00:00+00:00
262,120,0,60,60,2020-04-08 00:00:00+00:00
263,158,1,82,75,2020-04-08 00:00:00+00:00
264,9,0,0,9,2020-04-08 00:00:00+00:00
265,8,1,0,7,2020-04-08 00:00:00+00:00
266,65077,9608,135,55334,2020-04-09 00:00:00+00:00
267,3,0,0,3,2020-04-09 00:00:00+00:00
268,48,4,25,19,2020-04-09 00:00:00+00:00
269,3,0,0,3,2020-04-09 00:00:00+00:00
270,45,1,6,38,2020-04-09 00:00:00+00:00
271,361,8,40,313,2020-04-09 00:00:00+00:00
272,5,0,1,4,2020-04-09 00:00:00+00:00
273,123,0,60,63,2020-04-09 00:00:00+00:00
274,190,1,92,97,2020-04-09 00:00:00+00:00
275,9,0,0,9,2020-04-09 00:00:00+00:00
276,8,1,0,7,2020-04-09 00:00:00+00:00
277,73758,10760,344,62654,2020-04-10 00:00:00+00:00
278,3,0,0,3,2020-04-10 00:00:00+00:00
279,48,4,25,19,2020-04-10 00:00:00+00:00
280,3,0,0,3,2020-04-10 00:00:00+00:00
281,45,1,6,38,2020-04-10 00:00:00+00:00
282,398,9,40,349,2020-04-10 00:00:00+00:00
283,5,0,1,4,2020-04-10 00:00:00+00:00
284,127,0,69,58,2020-04-10 00:00:00+00:00
285,201,1,103,97,2020-04-10 00:00:00+00:00
286,9,0,0,9,2020-04-10 00:00:00+00:00
287,8,1,0,7,2020-04-10 00:00:00+00:00
