,DK_Confirmed,DK_Deaths,DK_Recovered,DK_Active,Date
215,11,0,11,0,2020-05-16 00:00:00+00:00
216,10927,547,9227,1153,2020-05-17 00:00:00+00:00
217,187,0,187,0,2020-05-17 00:00:00+00:00
218,11,0,11,0,2020-05-17 00:00:00+00:00
219,10968,548,9301,1119,2020-05-18 00:00:00+00:00
220,187,0,187,0,2020-05-18 00:00:00+00:00
221,11,0,11,0,2020-05-18 00:00:00+00:00
222,11044,551,9416,1077,2020-05-19 00:00:00+00:00
223,187,0,187,0,2020-05-19 00:00:00+00:00
224,11,0,11,0,2020-05-19 00:00:00+00:00
225,11117,554,9536,1027,2020-05-20 00:00:00+00:00
226,187,0,187,0,2020-05-20 00:00:00+00:00
227,11,0,11,0,2020-05-20 00:00:00+00:00
228,11182,561,9643,978,2020-05-21 00:00:00+00:00
229,187,0,187,0,2020-05-21 00:00:00+00:00
230,11,0,11,0,2020-05-21 00:00:00+00:00
231,11230,561,9764,905,2020-05-22 00:00:00+00:00
232,187,0,187,0,2020-05-22 00:00:00+00:00
233,11,0,11,0,2020-05-22 00:00:00+00:00
234,11289,561,9836,892,2020-05-23 00:00:00+00:00
235,187,0,187,0,2020-05-23 00:00:00+00:00
236,11,0,11,0,2020-05-23 00:00:00+00:00
237,11360,562,9900,898,2020-05-24 00:00:00+00:00
238,187,0,187,0,2020-05-24 00:00:00+00:00
239,12,0,11,1,2020-05-24 00:00:00+00:00
240,11387,563,9964,860,2020-05-25 00:00:00+00:00
241,187,0,187,0,2020-05-25 00:00:00+00:00
242,12,0,11,1,2020-05-25 00:00:00+00:00
243,11428,563,10044,821,2020-05-26 00:00:00+00:00
244,187,0,187,0,2020-05-26 00:00:00+00:00
245,12,0,11,1,2020-05-26 00:00:00+00:00
246,11480,565,10106,809,2020-05-27 00:00:00+00:00
247,187,0,187,0,2020-05-27 00:00:00+00:00
248,13,0,11,2,2020-05-27 00:00:00+00:00
249,11512,568,10180,764,2020-05-28 00:00:00+00:00
250,187,0,187,0,2020-05-28 00:00:00+00:00
251,13,0,11,2,2020-05-28 00:00:00+00:00
252,11593,568,10240,785,2020-05-29 00:00:00+00:00
253,187,0,187,0,2020-05-29 00:00:00+00:00
254,13,0,11,2,2020-05-29 00:00:00+00:00
255,11633,571,10327,735,2020-05-30 00:00:00+00:00
256,187,0,187,0,2020-05-30 00:00:00+00:00
257,13,0,11,2,2020-05-30 00:00:00+00:00
258,11669,574,10362,733,2020-05-31 00:00:00+00:00
259,187,0,187,0,2020-05-31 00:00:00+00:00
260,13,0,11,2,2020-05-31 00:00:00+00:00
261,11699,576,10412,711,2020-06-01 00:00:00+00:00
262,187,0,187,0,2020-06-01 00:00:00+00:00
263,13,0,11,2,2020-06-01 00:00:00+00:00
264,11734,580,10489,665,2020-06-02 00:00:00+00:00
265,187,0,187,0,2020-06-02 00:00:00+00:00
266,13,0,11,2,2020-06-02 00:00:00+00:00
267,11771,580,10552,639,2020-06-03 00:00:00+00:00
268,187,0,187,0,2020-06-03 00:00:00+00:00
269,13,0,11,2,2020-06-03 00:00:00+00:00
270,11811,582,10620,609,2020-06-04 00:00:00+00:00
271,187,0,187,0,2020-06-04 00:00:00+00:00
272,13,0,13,0,2020-06-04 00:00:00+00:00
273,11875,586,10653,636,2020-06-05 00:00:00+00:00
274,187,0,187,0,2020-06-05 00:00:00+00:00
