,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,Date
145,36,0,0,36,2020-01-26 00:00:00+00:00
146,5,0,0,5,2020-01-26 00:00:00+00:00
147,22,0,0,22,2020-01-26 00:00:00+00:00
148,13,1,0,12,2020-01-26 00:00:00+00:00
149,70,0,0,70,2020-01-27 00:00:00+00:00
150,80,1,2,77,2020-01-27 00:00:00+00:00
151,110,0,0,110,2020-01-27 00:00:00+00:00
152,59,0,0,59,2020-01-27 00:00:00+00:00
153,14,0,0,14,2020-01-27 00:00:00+00:00
154,151,0,4,147,2020-01-27 00:00:00+00:00
155,46,0,0,46,2020-01-27 00:00:00+00:00
156,7,0,0,7,2020-01-27 00:00:00+00:00
157,33,1,0,32,2020-01-27 00:00:00+00:00
158,18,1,0,17,2020-01-27 00:00:00+00:00
159,6,0,0,6,2020-01-27 00:00:00+00:00
160,27,0,0,27,2020-01-27 00:00:00+00:00
161,6,0,0,6,2020-01-27 00:00:00+00:00
162,7,0,0,7,2020-01-27 00:00:00+00:00
163,6,0,0,6,2020-01-27 00:00:00+00:00
164,35,0,0,35,2020-01-27 00:00:00+00:00
165,75,0,0,75,2020-01-27 00:00:00+00:00
166,53,1,3,49,2020-01-27 00:00:00+00:00
167,13,0,0,13,2020-01-27 00:00:00+00:00
168,21,1,0,20,2020-01-27 00:00:00+00:00
169,128,1,0,127,2020-01-27 00:00:00+00:00
170,8,0,0,8,2020-01-27 00:00:00+00:00
171,1423,76,45,1302,2020-01-27 00:00:00+00:00
172,100,0,0,100,2020-01-27 00:00:00+00:00
173,11,0,0,11,2020-01-27 00:00:00+00:00
174,47,0,1,46,2020-01-27 00:00:00+00:00
175,72,0,2,70,2020-01-27 00:00:00+00:00
176,69,0,0,69,2020-01-27 00:00:00+00:00
177,23,0,0,23,2020-01-27 00:00:00+00:00
178,5,0,0,5,2020-01-27 00:00:00+00:00
179,26,0,0,26,2020-01-27 00:00:00+00:00
180,128,0,1,127,2020-01-27 00:00:00+00:00
181,90,0,0,90,2020-01-28 00:00:00+00:00
182,24,0,0,24,2020-01-28 00:00:00+00:00
183,10,0,0,10,2020-01-28 00:00:00+00:00
184,44,0,0,44,2020-01-28 00:00:00+00:00
